sample-1|nadir nüsxə olan, başqa kitabxanalarda tapılmayan çox köhnə bir dərslik sorağına düşmüşdü.
sample-2|ona buranı salıx vermişdilər.
sample-3|əfsun i̇qtisad i̇nstitutunda təhsil alırdı.
sample-4|“maliyyə-kredit” fakültəsinin üçüncü kurs tələbəsi idi.
sample-5|əla qiymətlərlə oxuyurdu.
sample-6|bütün müəllim heyətinin rəğbətini qazanmışdı.
sample-7|yalnız birindən savayı.
sample-8|bu, əsas fənn müəllimi qocaman, adlı-sanlı professordu.
sample-9|öz həmkarlarından son dərəcə tələbkarlığı və güzəştsizliyi ilə seçilirdi.
sample-10|düzgünlükdə ad çıxartmışdı.
sample-11|xahişə, minnətə baxmırdı.
sample-12|heç institut rəhbərliyini də eşitmirdi.
sample-13|di gəl ki, çalışqan, elmə həvəsli tələbələr gözünün işığıydı.
sample-14|onları haqsızlıqdan, müəllim qərəzlərindən doğma balası kimi qoruyurdu.
sample-15|hətta lazım gəlsə, maddi köməklik də göstərirdi.
sample-16|bu xasiyyətlərinə, tündməzaclığına görə, professor cəmil i̇manlını həmkarları arasında sevməyənlər, badalaq gəlməyə hazırlar az deyildi.
sample-17|professor cəmil i̇manlının tələbə əfsunla öcəşməsi, onu bəyənməməsi isə bambaşqa cəhətdən qaynaqlanırdı.
sample-18|digər müəllimlərdən fərqli olaraq, bu tələbənin iç üzünü aydın görürdü.
sample-19|sözünü onun üzünə açıq deyirdi:
sample-20|“sən lovğasan, özündən çox razısan.
sample-21|sırtıqlıqla, özünü gözə soxmaqla hər işini nizamlayırsan.
sample-22|elmə həvəs, biliyə maraq sənin içindən gəlmir, yüksək qiymətləri əzbərçiliklə, zəhlə tökməklə alırsan.
sample-23|uzun çəkməyəcək, elm səni usandıracaq.
sample-24|tamam ayrı bir yolun yolçusu olacaqsan”.
sample-25|əfsun da höcətə düşmüşdü.
sample-26|arxasını yerə vurdurmaq istəmirdi.
sample-27|“tərs” professorun dərsinə bir az da səylə çalışır, özü haqqında mənfi rəyi heçə endirməyə xüsusi cəhd göstərirdi.
sample-28|bu cəhd həm də kurs yoldaşları qarşısında vüqarını sındırmamaq əzmi idi.
sample-29|ancaq höcətin axırı gəlib “kurs işi”ndə çiləkənə ilişmişdi.
sample-30|professor onu divara qısnamışdı.
sample-31|ən ağır mövzunu əfsunun boynuna yükləmişdi.
sample-32|i̇şin də içindən əlavə əngəl çıxmışdı.
sample-33|i̇stifadə üçün gərəkli kitab, elmi vəsait yağlı kökəyə dönüb göyə çəkilmişdi.
sample-34|əfsunu çətin vəziyyətlərə salmışdı.
sample-35|hara əl atırdı, əli boşda qalırdı.
sample-36|günləri səmərəsiz keçir, “kurs işi”nin vaxtı yaxınlaşırdı.
