sample-1|nadir nüsxə olan, başqa kitabxanalarda tapılmayan çox köhnə bir dərslik sorağına düşmüşdü.|Hello there
sample-2|ona buranı salıx vermişdilər.|Hello there
sample-3|əfsun i̇qtisad i̇nstitutunda təhsil alırdı.|Hello there
sample-4|“maliyyə-kredit” fakültəsinin üçüncü kurs tələbəsi idi.|Hello there
sample-5|əla qiymətlərlə oxuyurdu.|Hello there
sample-6|bütün müəllim heyətinin rəğbətini qazanmışdı.|Hello there
sample-7|yalnız birindən savayı.|Hello there
sample-8|bu, əsas fənn müəllimi qocaman, adlı-sanlı professordu.|Hello there
sample-9|öz həmkarlarından son dərəcə tələbkarlığı və güzəştsizliyi ilə seçilirdi.|Hello there
sample-10|düzgünlükdə ad çıxartmışdı.|Hello there
sample-11|xahişə, minnətə baxmırdı.|Hello there
sample-12|heç institut rəhbərliyini də eşitmirdi.|Hello there
sample-13|di gəl ki, çalışqan, elmə həvəsli tələbələr gözünün işığıydı.|Hello there
sample-14|onları haqsızlıqdan, müəllim qərəzlərindən doğma balası kimi qoruyurdu.|Hello there
sample-15|hətta lazım gəlsə, maddi köməklik də göstərirdi.|Hello there
sample-16|bu xasiyyətlərinə, tündməzaclığına görə, professor cəmil i̇manlını həmkarları arasında sevməyənlər, badalaq gəlməyə hazırlar az deyildi.|Hello there
sample-17|professor cəmil i̇manlının tələbə əfsunla öcəşməsi, onu bəyənməməsi isə bambaşqa cəhətdən qaynaqlanırdı.|Hello there
sample-18|digər müəllimlərdən fərqli olaraq, bu tələbənin iç üzünü aydın görürdü.|Hello there
sample-19|sözünü onun üzünə açıq deyirdi:|Hello there
sample-20|“sən lovğasan, özündən çox razısan.|Hello there
sample-21|sırtıqlıqla, özünü gözə soxmaqla hər işini nizamlayırsan.|Hello there
sample-22|elmə həvəs, biliyə maraq sənin içindən gəlmir, yüksək qiymətləri əzbərçiliklə, zəhlə tökməklə alırsan.|Hello there
sample-23|uzun çəkməyəcək, elm səni usandıracaq.|Hello there
sample-24|tamam ayrı bir yolun yolçusu olacaqsan”.|Hello there
sample-25|əfsun da höcətə düşmüşdü.|Hello there
sample-26|arxasını yerə vurdurmaq istəmirdi.|Hello there
sample-27|“tərs” professorun dərsinə bir az da səylə çalışır, özü haqqında mənfi rəyi heçə endirməyə xüsusi cəhd göstərirdi.|Hello there
sample-28|bu cəhd həm də kurs yoldaşları qarşısında vüqarını sındırmamaq əzmi idi.|Hello there
sample-29|ancaq höcətin axırı gəlib “kurs işi”ndə çiləkənə ilişmişdi.|Hello there
sample-30|professor onu divara qısnamışdı.|Hello there
sample-31|ən ağır mövzunu əfsunun boynuna yükləmişdi.|Hello there
sample-32|i̇şin də içindən əlavə əngəl çıxmışdı.|Hello there
sample-33|i̇stifadə üçün gərəkli kitab, elmi vəsait yağlı kökəyə dönüb göyə çəkilmişdi.|Hello there
sample-34|əfsunu çətin vəziyyətlərə salmışdı.|Hello there
sample-35|hara əl atırdı, əli boşda qalırdı.|Hello there
sample-36|günləri səmərəsiz keçir, “kurs işi”nin vaxtı yaxınlaşırdı.|Hello there
sample-37|təyin edilmiş müddətə işi yazıb başa çatdırmasa, professorun hüzurunda dili gödək olacaq, tələbə yoldaşlarının etimadını itirəcəkdi.|Hello there
sample-38|o, mərkəzi kitabxananın oxu salonuna ayaq basan kimi, gözü taxta arakəsmə küncündə əyləşib, önündəki bir yığın kitabı qeydə alan cavan, olduqca göyçək bir qadına sataşdı.|Hello there
sample-39|otuz, bəlkə də otuz iki yaşlı bu qadına elə ilk baxışdan quşu qondu.|Hello there
sample-40|axtardığı “yağlı kökə” kitabın məhz bu qadının köməyi ilə tapılacağına qəlbində çox qəribə inam yarandı.|Hello there
sample-41|göyçək qadına izafi ehtiramla yaxınlaşdı.|Hello there
sample-42|qılığa girməkdə, istənilən adamla az zaman ərzində xoş münasibət qurmaqda səriştəsi yaxşı idi.|Hello there
sample-43|xüsusən də qadınlarla dil tapmaq onun üçün bir içimlik su idi.|Hello there
sample-44|arakəsmənin tininə dirsəklənib, şirin dilini işə saldı:|Hello there
sample-45|acizanə üzr istəyirəm, xanım, icazə verin, bir dəqiqəliyə vaxtınızı alım.|Hello there
sample-46|qadın məşğuliyyətindən ayrılmadı.|Hello there
sample-47|ona müraciət edənə başını qaldırıb, heç gözucu da baxmadı.|Hello there
sample-48|rəsmiyyətlə:|Hello there
sample-49|buyurun, eşidirəm, dedi.|Hello there
sample-50|əfsun sinəsini qabağa verdi.|Hello there
sample-51|asta səsini xeylicə ucaldıb, ona lazım kitabın adını və müəllifini söylədi.|Hello there
sample-52|göyçək qadın işindən yenə də ayrılmadan başını buladı, kitabın yoxluğunu işarətlə bildirdi.|Hello there
sample-53|əfsun yalvarışlı təkidlə:|Hello there
sample-54|ümidim, bütün gümanım bircə sizədi, xanım, dedi.|Hello there
sample-55|əliboş qaytarmayın məni.|Hello there
sample-56|sizə zəhmət də olsa, axtarın o kitabı, vacibdən-vacib lazımdı.|Hello there
sample-57|çox xahiş eləyirəm.|Hello there
sample-58|qadın soyuq dilləndi:|Hello there
sample-59|o kitabın adını birinci dəfədi eşidirəm, çətin ki, bizdə olsun.|Hello there
sample-60|əfsun təkidini ciddiləşdirdi:|Hello there
sample-61|var o kitab sizin fondda.|Hello there
sample-62|yəqin bilirəm, var.|Hello there
sample-63|qadın işini saxladı.|Hello there
sample-64|qəddini dikəldib, inadkar oxucuya heyrətlə, eyni zamanda da narazılıqla baxdı:|Hello there
sample-65|bu yəqinlik nədəndi sizdə?|Hello there
sample-66|əfsunun həniri batdı.|Hello there
sample-67|qadının sualı yox, gözəlliyi onun dilini-ağzını bağlamışdı.|Hello there
sample-68|al yanaq, yığcam ağız-burun, incə yatımlı-ətli dodaqlar, qüdrətdən çəkilmiş dümqara, qövsşəkilli qaşlar, badamı gözlər, hər kim olsa, karıxdırar; ağlını başından alardı.|Hello there
